Z,N,Mass Excess [MeV],Error,Estimated
34,35,-56.434706,0.00149,0
34,36,-61.929891,0.001584,0
34,37,-63.146507,0.002794,0
34,38,-67.86818,0.001956,0
34,39,-68.227387,0.007424,0
34,40,-72.213201,0.000015,0
34,41,-72.169481,0.000073,0
34,42,-75.25195,0.000016,0
34,43,-74.599488,0.000062,0
34,44,-77.025944,0.000179,0
34,45,-75.917459,0.000223,0
34,46,-77.759457,0.000963,0
34,47,-76.388988,0.000992,0
34,48,-77.593882,0.000467,0
34,49,-75.34053,0.003036,0
34,50,-75.947721,0.001961,0
34,51,-72.413636,0.002613,0
34,52,-70.503167,0.00252,0
34,53,-66.426125,0.002241,0
34,54,-63.884195,0.003357,0
34,55,-58.992391,0.003729,0
34,56,-55.800217,0.329749,0
34,57,-50.580124,0.433145,0
34,58,-46.724,0.4,1
34,59,-40.716,0.4,1
34,60,-36.803,0.5,1
34,61,-30.46,0.5,1
35,32,-32.79,0.4,1
35,33,-38.791,0.259,1
35,34,-46.25947,0.042003,0
35,35,-51.425619,0.014904,0
35,36,-56.502418,0.005402,0
35,37,-59.061743,0.001025,0
35,38,-63.647475,0.007266,0
35,39,-65.288153,0.005835,0
35,40,-69.107009,0.004285,0
35,41,-70.289068,0.009322,0
35,42,-73.234809,0.002811,0
35,43,-73.45216,0.00358,0
35,44,-76.068035,0.001021,0
35,45,-75.888993,0.001012,0
35,46,-77.977034,0.000978,0
35,47,-77.498661,0.000971,0
35,48,-79.013709,0.003795,0
35,49,-77.783084,0.02573,0
35,50,-78.575469,0.003078,0
35,51,-75.632252,0.003078,0
35,52,-73.891676,0.003171,0
35,53,-70.715959,0.003171,0
35,54,-68.274263,0.003264,0
35,55,-64.000298,0.003357,0
35,56,-61.107294,0.003544,0
35,57,-56.232805,0.006709,0
35,58,-52.89023,0.430816,0
35,59,-47.4,0.3,1
35,60,-43.771,0.298,1
35,61,-38.163,0.298,1
35,62,-34.055,0.401,1
35,63,-28.25,0.4,1
36,33,-32.435,0.401,1
36,34,-41.1,0.2,1
36,35,-46.327205,0.128769,0
36,36,-53.940575,0.008011,0
36,37,-56.551751,0.006578,0
36,38,-62.331836,0.002013,0
36,39,-64.323624,0.008104,0
36,40,-69.013714,0.004013,0
36,41,-70.169443,0.001956,0
36,42,-74.178275,0.000307,0
36,43,-74.442257,0.003486,0
36,44,-77.893346,0.000691,0
